claim_id,claimant_id,policy_type,coverage_tier,policy_start_date,claim_date,claim_submission_timestamp,claim_channel,claimant_age_band,claimant_tenure_days,postal_region,item_category,item_purchase_date,claimed_incident_date,incident_type,claim_amount_gbp,estimated_item_value_gbp,claim_amount_vs_item_value_ratio,prior_claims_count,claims_last_12_months,approved_claims_last_24_months,denied_claims_last_24_months,days_since_last_claim,days_since_policy_start,premium_payment_missed_last_12_months,recent_high_value_purchase_flag,unusual_spend_spike_flag,account_login_location_change_flag,multiple_devices_last_7_days_flag,address_change_last_30_days_flag,phone_change_last_30_days_flag,bank_detail_change_last_30_days_flag,late_night_submission_flag,weekend_submission_flag,receipt_present_flag,receipt_mismatch_flag,duplicate_receipt_flag,image_tamper_flag,email_language_risk_score,behavioural_risk_score,document_risk_score,overall_risk_label,manual_review_outcome,insurer_id,policy_number,claim_status,customer_segment,payment_method,reported_loss_location,police_report_flag,known_fraud_history_flag,claim_description_length,settlement_amount_gbp,payout_method,device_fingerprint_change_flag,ip_risk_score,geo_distance_km_from_home,merchant_category,imei_or_serial_present_flag,evidence_count,adjuster_id,review_queue,sla_breach_flag,referral_source,excess_amount_gbp,recovery_amount_gbp
GCLM-000001,CUS-0001,Gadget Insurance,Standard,2024-09-01,2025-02-15,2025-02-15T10:10:00,portal,18-24,40,Sheffield,phone,2024-11-20,2025-02-14,theft,683,949,0.72,0,0,0,0,999,180,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.08,0.18,0.1,low,approved,ShieldWise,POL-GAD-2025-42000,approved,demo,direct_debit,Sheffield,1,0,319,560.06,bank_transfer,0,12,4.2,electronics,0,1,ADJ-120,auto_clear,0,self_service,50,0
GCLM-000002,CUS-0002,Gadget Insurance,Premium,2024-09-01,2025-02-15,2025-02-16T10:11:00,portal,25-34,77,Sheffield,phone,2024-11-20,2025-02-14,electrical_fault,1299,1644,0.79,0,0,0,0,999,215,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.08,0.18,0.1,low,approved,ShieldWise,POL-GAD-2025-42001,approved,demo,direct_debit,Sheffield,0,0,263,1065.18,bank_transfer,0,12,4.2,electronics,0,1,ADJ-121,auto_clear,0,self_service,50,0
GCLM-000003,CUS-0003,Gadget Insurance,Standard,2024-09-01,2025-02-15,2025-02-17T10:12:00,portal,35-44,114,Sheffield,phone,2024-11-20,2025-02-14,in_transit_damage,1152,1339,0.86,0,0,1,0,75,250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.46,0.48,0.18,medium,flagged,ShieldWise,POL-GAD-2025-42002,under_review,demo,direct_debit,Sheffield,0,0,236,0,bank_transfer,0,42,22.4,electronics,0,1,ADJ-122,analyst_queue,0,self_service,50,0
GCLM-000004,CUS-0004,Gadget Insurance,Premium,2024-09-01,2025-02-15,2025-02-18T10:13:00,portal,45-54,151,Sheffield,tablet,2024-11-20,2025-02-14,water_damage,962,1034,0.93,0,0,1,0,75,285,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.46,0.48,0.44,medium,flagged,ShieldWise,POL-GAD-2025-42003,under_review,demo,direct_debit,Sheffield,0,0,223,0,bank_transfer,0,42,22.4,electronics,0,1,ADJ-123,analyst_queue,0,self_service,50,0
GCLM-000005,CUS-0005,Gadget Insurance,Standard,2024-09-01,2025-02-15,2025-02-19T10:14:00,portal,18-24,188,Sheffield,tablet,2024-11-20,2025-02-14,power_surge,1479,1479,1.0,1,0,1,0,75,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.48,0.58,medium,flagged,ShieldWise,POL-GAD-2025-42004,under_review,demo,direct_debit,Sheffield,0,0,295,0,bank_transfer,0,42,22.4,electronics,0,1,ADJ-124,analyst_queue,0,self_service,50,0
GCLM-000006,CUS-0006,Gadget Insurance,Premium,2024-09-01,2025-02-15,2025-02-20T10:15:00,portal,25-34,225,Sheffield,laptop,2024-11-20,2025-02-14,loss,1241,1724,0.72,1,1,0,1,18,355,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.82,0.78,0.58,high,flagged,ShieldWise,POL-GAD-2025-42005,under_review,demo,direct_debit,Sheffield,0,1,260,0,bank_transfer,1,74,88.0,electronics,0,1,ADJ-125,fraud_queue,1,self_service,50,0
GCLM-000007,CUS-0007,Gadget Insurance,Standard,2024-09-01,2025-02-15,2025-02-21T10:16:00,portal,35-44,262,Sheffield,laptop,2024-11-20,2025-02-14,liquid_spill,2030,2569,0.79,1,0,1,0,75,390,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.46,0.48,0.1,medium,flagged,ShieldWise,POL-GAD-2025-42006,under_review,demo,direct_debit,Sheffield,0,0,212,0,bank_transfer,0,42,22.4,electronics,0,1,ADJ-126,analyst_queue,0,self_service,50,0
GCLM-000008,CUS-0008,Gadget Insurance,Premium,2024-09-01,2025-02-15,2025-02-22T10:17:00,portal,45-54,299,Sheffield,laptop,2024-11-20,2025-02-14,accessory_damage,2420,2814,0.86,1,0,1,0,75,425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.48,0.1,medium,flagged,ShieldWise,POL-GAD-2025-42007,under_review,demo,direct_debit,Sheffield,0,0,233,0,bank_transfer,0,42,22.4,electronics,0,1,ADJ-127,analyst_queue,0,self_service,50,0
GCLM-000125,CUS-0009,Gadget Insurance,Standard,2024-09-01,2025-02-15,2025-02-23T10:18:00,portal,18-24,336,Sheffield,tablet,2024-11-20,2025-02-14,power_surge,1614,1614,1.0,1,0,0,1,18,75,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0.82,0.78,0.58,high,flagged,ShieldWise,POL-GAD-2025-42008,under_review,demo,direct_debit,Sheffield,0,1,235,0,bank_transfer,1,74,88.0,electronics,0,1,ADJ-128,fraud_queue,1,self_service,50,0
GCLM-000126,CUS-0010,Gadget Insurance,Premium,2024-09-01,2025-02-15,2025-02-24T10:19:00,portal,25-34,373,Sheffield,laptop,2024-11-20,2025-02-14,loss,1338,1859,0.72,1,0,0,1,18,75,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0.82,0.78,0.38,high,flagged,ShieldWise,POL-GAD-2025-42009,under_review,demo,direct_debit,Sheffield,0,1,223,0,bank_transfer,1,74,88.0,electronics,0,0,ADJ-129,fraud_queue,1,self_service,50,0
GCLM-000127,CUS-0011,Gadget Insurance,Standard,2024-09-01,2025-02-15,2025-02-25T10:20:00,portal,35-44,410,Sheffield,laptop,2024-11-20,2025-02-14,liquid_spill,1816,2299,0.79,1,1,0,0,999,75,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0.08,0.18,0.18,low,approved,ShieldWise,POL-GAD-2025-42010,approved,demo,direct_debit,Sheffield,0,0,219,1489.12,bank_transfer,0,12,4.2,electronics,0,1,ADJ-130,auto_clear,0,self_service,50,0
GCLM-000128,CUS-0012,Gadget Insurance,Premium,2024-09-01,2025-02-15,2025-02-26T10:21:00,portal,45-54,447,Sheffield,laptop,2024-11-20,2025-02-14,accessory_damage,2188,2544,0.86,1,0,1,0,75,75,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.46,0.48,0.1,medium,flagged,ShieldWise,POL-GAD-2025-42011,under_review,demo,direct_debit,Sheffield,0,0,218,0,bank_transfer,0,42,22.4,electronics,0,1,ADJ-131,analyst_queue,0,self_service,50,0
