claim_id,email_id,scenario_name,evidence_type,evidence_path,sha256,is_duplicate_sample,document_label
GCLM-000001,CLMMAIL-0001,normal_receipt,receipt_valid,data/sample/evidence/receipts/receipt_valid_001.png,6ccf5ac1bd59369f6100cead34c646356600cc1fe220aa659a01fb3cf666af39,0,valid
GCLM-000002,CLMMAIL-0002,urgent_genuine,receipt_valid,data/sample/evidence/receipts/receipt_valid_001.png,6ccf5ac1bd59369f6100cead34c646356600cc1fe220aa659a01fb3cf666af39,0,valid
GCLM-000003,CLMMAIL-0003,missing_receipt,repair_quote,data/sample/evidence/repair_quotes/repair_quote_valid_001.pdf,917e40b56071f98390fa4c1d498ba7aa74aeaa8ecab57e22fd5ee32b0721af76,0,suspicious
GCLM-000004,CLMMAIL-0004,duplicate_receipt,receipt_duplicate,data/sample/evidence/receipts/receipt_duplicate_001.png,6ccf5ac1bd59369f6100cead34c646356600cc1fe220aa659a01fb3cf666af39,1,suspicious
GCLM-000005,CLMMAIL-0005,cropped_receipt,receipt_cropped,data/sample/evidence/receipts/receipt_cropped_001.png,8b15ec22dcf89aed435a9f6591f6b50b75a8360a81c6fce440a45768044425b3,0,suspicious
GCLM-000006,CLMMAIL-0006,tampered_receipt,receipt_suspicious,data/sample/evidence/receipts/receipt_suspicious_001.png,325f8a35571156491f0c3b89310dab82284f65f46320e42b7a1cf84e8fe33ec8,0,suspicious
GCLM-000007,CLMMAIL-0007,id_check,synthetic_id,data/sample/evidence/ids/synthetic_id_sample_001.png,a492828c4615dbbefa2d21673e7a855541298811006012813d89558c2c39ccae,0,suspicious
GCLM-000008,CLMMAIL-0008,subtle_spam,receipt_valid,data/sample/evidence/receipts/receipt_valid_001.png,6ccf5ac1bd59369f6100cead34c646356600cc1fe220aa659a01fb3cf666af39,0,suspicious
GCLM-000125,CLMMAIL-0125,bank_change_spam,receipt_suspicious,data/sample/evidence/receipts/receipt_suspicious_001.png,325f8a35571156491f0c3b89310dab82284f65f46320e42b7a1cf84e8fe33ec8,0,suspicious
GCLM-000126,CLMMAIL-0126,no_evidence_high,,,,0,missing
GCLM-000127,CLMMAIL-0127,repair_network,repair_quote,data/sample/evidence/repair_quotes/repair_quote_valid_001.pdf,917e40b56071f98390fa4c1d498ba7aa74aeaa8ecab57e22fd5ee32b0721af76,0,valid
GCLM-000128,CLMMAIL-0128,mixed_evidence,receipt_valid,data/sample/evidence/receipts/receipt_valid_001.png,6ccf5ac1bd59369f6100cead34c646356600cc1fe220aa659a01fb3cf666af39,0,suspicious
