claim_id,email_id,scenario_name,text_source,tabular_source,evidence_path,item_category,incident_type,text_label,document_label,overall_risk_label,email_language_risk_score,behavioural_risk_score,document_risk_score
GCLM-000001,CLMMAIL-0001,normal_receipt,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/receipts/receipt_valid_001.png,phone,theft,ham,valid,low,0.08,0.18,0.1
GCLM-000002,CLMMAIL-0002,urgent_genuine,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/receipts/receipt_valid_001.png,phone,electrical_fault,ham,valid,low,0.08,0.18,0.1
GCLM-000003,CLMMAIL-0003,missing_receipt,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/repair_quotes/repair_quote_valid_001.pdf,phone,in_transit_damage,ham,suspicious,medium,0.46,0.48,0.18
GCLM-000004,CLMMAIL-0004,duplicate_receipt,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/receipts/receipt_duplicate_001.png,tablet,water_damage,ham,suspicious,medium,0.46,0.48,0.44
GCLM-000005,CLMMAIL-0005,cropped_receipt,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/receipts/receipt_cropped_001.png,tablet,power_surge,ham,suspicious,medium,0.46,0.48,0.58
GCLM-000006,CLMMAIL-0006,tampered_receipt,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/receipts/receipt_suspicious_001.png,laptop,loss,ham,suspicious,high,0.82,0.78,0.58
GCLM-000007,CLMMAIL-0007,id_check,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/ids/synthetic_id_sample_001.png,laptop,liquid_spill,ham,suspicious,medium,0.46,0.48,0.1
GCLM-000008,CLMMAIL-0008,subtle_spam,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/receipts/receipt_valid_001.png,laptop,accessory_damage,ham,suspicious,medium,0.46,0.48,0.1
GCLM-000125,CLMMAIL-0125,bank_change_spam,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/receipts/receipt_suspicious_001.png,tablet,power_surge,spam,suspicious,high,0.82,0.78,0.58
GCLM-000126,CLMMAIL-0126,no_evidence_high,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,,laptop,loss,spam,missing,high,0.82,0.78,0.38
GCLM-000127,CLMMAIL-0127,repair_network,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/repair_quotes/repair_quote_valid_001.pdf,laptop,liquid_spill,spam,valid,low,0.08,0.18,0.18
GCLM-000128,CLMMAIL-0128,mixed_evidence,data/sample/claims/claim_email_ham_spam_sample.csv,data/sample/claims/claim_history_sample.csv,data/sample/evidence/receipts/receipt_valid_001.png,laptop,accessory_damage,spam,suspicious,medium,0.46,0.48,0.1
